Date,Close/Last,Volume,Open,High,Low
04/07/2026,$42.89,446457,$43.07,$43.46,$40.61
04/06/2026,$44.02,509351,$41.50,$46.00,$41.50
04/02/2026,$41.66,533004,$36.82,$42.51,$36.82
04/01/2026,$37.66,218919,$36.79,$37.73,$36.00
03/31/2026,$37.90,694517,$36.71,$38.79,$34.89
03/30/2026,$34.20,225344,$36.15,$36.675,$33.7702
03/27/2026,$36.11,255267,$37.53,$37.865,$36.065
03/26/2026,$38.22,304188,$38.26,$39.4628,$37.28
03/25/2026,$41.48,460588,$37.13,$41.75,$37.09
03/24/2026,$37.01,355143,$38.60,$39.23,$35.70
03/23/2026,$39.48,305125,$39.10,$40.35,$38.50
03/20/2026,$40.55,656635,$42.02,$43.11,$38.21
03/19/2026,$41.18,401269,$41.40,$42.80,$40.70
03/18/2026,$43.47,937759,$42.32,$45.59,$41.05
03/17/2026,$40.53,765537,$37.32,$41.14,$36.31
03/16/2026,$37.41,502962,$37.15,$37.835,$35.25
03/13/2026,$38.30,470607,$37.75,$38.50,$36.50
03/12/2026,$37.37,787718,$39.23,$40.10,$37.37
03/11/2026,$35.93,1643440,$35.23,$41.00,$33.65
03/10/2026,$36.74,1431616,$38.46,$40.31,$35.18
03/09/2026,$41.95,1492349,$47.765,$47.95,$40.21
03/06/2026,$56.27,3050279,$50.73,$60.00,$50.73
03/05/2026,$48.51,1302231,$47.435,$50.58,$45.24
03/04/2026,$46.72,1936472,$48.66,$51.64,$44.66
03/03/2026,$42.67,2182123,$34.92,$43.99,$34.83
03/02/2026,$36.69,2241077,$32.56,$40.87,$31.552
02/27/2026,$35.68,3205310,$27.35,$35.693,$27.35
02/26/2026,$26.21,817130,$27.40,$28.8882,$25.67
02/25/2026,$29.55,3607216,$31.00,$31.5899,$26.03
02/24/2026,$28.20,4743921,$21.20,$29.00,$20.72
02/23/2026,$20.11,1214855,$20.00,$21.80,$19.41
02/20/2026,$19.00,326157,$18.95,$19.19,$18.50
02/19/2026,$19.13,528177,$18.81,$20.0918,$18.05
02/18/2026,$18.72,580899,$18.81,$19.82,$18.6112
02/17/2026,$18.82,640731,$19.81,$19.91,$18.18
02/13/2026,$20.92,979831,$20.55,$22.6999,$19.82
02/12/2026,$21.42,2748423,$18.01,$25.25,$16.25
02/11/2026,$17.61,1210242,$20.75,$20.76,$17.2508
02/10/2026,$21.51,1035664,$22.435,$22.54,$20.70
02/09/2026,$23.39,1839608,$21.62,$25.2999,$20.63
02/06/2026,$22.45,1641782,$22.36,$23.90,$20.58
02/05/2026,$23.89,11566180,$27.77,$30.70,$23.25
02/04/2026,$22.27,1052932,$23.53,$24.84,$21.79
02/03/2026,$23.32,1354886,$24.30,$26.49,$22.51
02/02/2026,$23.32,4058598,$24.37,$29.93,$22.56
01/30/2026,$24.75,9334739,$31.56,$34.98,$21.71
01/29/2026,$52.63,9187601,$63.69,$68.88,$50.24
01/28/2026,$63.00,14282150,$52.735,$86.28,$51.5375
01/27/2026,$52.00,7859498,$39.74,$57.45,$37.00
01/26/2026,$62.08,33526090,$55.155,$67.63,$26.33
01/23/2026,$16.48,43664020,$10.51,$18.30,$10.4043
01/22/2026,$8.66,2039793,$8.21,$9.40,$7.93
01/21/2026,$8.70,48526160,$9.06,$11.38,$7.81
01/20/2026,$6.15,1285914,$6.09,$7.20,$5.70
01/16/2026,$6.35,4451791,$6.91,$7.43,$5.69
01/15/2026,$5.71,2686476,$5.60,$6.1224,$4.77
01/14/2026,$5.80,46841270,$3.93,$6.75,$3.88
01/13/2026,$3.61,602030,$3.33,$3.78,$3.33
01/12/2026,$3.30,477973,$3.51,$3.5271,$3.20
01/09/2026,$3.58,900727,$3.86,$3.955,$3.44
01/08/2026,$3.82,794760,$3.89,$4.231,$3.75
01/07/2026,$3.76,1502955,$4.50,$4.80,$3.76
01/06/2026,$4.67,16149990,$4.165,$4.9099,$4.07
01/05/2026,$3.62,3807409,$3.87,$4.00,$3.30
01/02/2026,$3.77,97585030,$2.50,$4.25,$2.50
12/31/2025,$2.32,4821628,$2.21,$2.67,$2.20
12/30/2025,$2.13,5350100,$2.54,$2.7299,$2.03
12/29/2025,$2.505,150430000,$1.78,$2.91,$1.77
12/26/2025,$1.20,150481,$1.37,$1.3801,$1.18
12/24/2025,$1.39,40319,$1.38,$1.4394,$1.32
12/23/2025,$1.39,204392,$1.57,$1.68,$1.39
12/22/2025,$1.58,154371,$1.78,$1.8841,$1.58
12/19/2025,$1.73,87105,$1.65,$1.79,$1.63
12/18/2025,$1.72,325732,$1.59,$1.88,$1.5599
12/17/2025,$1.53,301469,$1.53,$1.63,$1.48
12/16/2025,$1.73,333046,$2.12,$2.2445,$1.6563
12/15/2025,$2.11,281227,$2.48,$2.62,$2.10
12/12/2025,$2.58,242561,$2.74,$2.98,$2.50
12/11/2025,$2.84,81682,$2.90,$3.05,$2.7695
12/10/2025,$2.95,68768,$2.995,$3.20,$2.95
12/09/2025,$3.078,127881,$2.80,$3.164,$2.73
12/08/2025,$2.85,199162,$2.681,$2.876,$2.561
12/05/2025,$2.651,153766,$2.843,$2.88,$2.65
12/04/2025,$2.823,288210,$3.188,$3.216,$2.596
12/03/2025,$3.309,106563,$3.20,$3.348,$3.20
12/02/2025,$3.202,434425,$3.40,$4.45,$3.20
12/01/2025,$3.586,99316,$3.779,$3.846,$3.503
11/28/2025,$3.943,50739,$3.748,$4.10,$3.70
11/26/2025,$3.78,88152,$3.65,$4.00,$3.601
11/25/2025,$3.73,49764,$3.79,$3.869,$3.70
11/24/2025,$3.897,89443,$3.739,$3.899,$3.605
11/21/2025,$3.716,162614,$3.498,$3.718,$3.351
11/20/2025,$3.584,164438,$3.70,$3.741,$3.45
11/19/2025,$3.799,119658,$3.799,$3.799,$3.601
11/18/2025,$4.00,115374,$3.66,$4.00,$3.596
11/17/2025,$3.90,267889,$4.35,$4.368,$3.614
11/14/2025,$4.106,430907,$3.792,$4.32,$3.582
11/13/2025,$3.73,293442,$3.80,$3.892,$3.635
11/12/2025,$4.055,361749,$4.086,$4.339,$4.021
11/11/2025,$4.118,1077416,$3.977,$4.399,$3.583
11/10/2025,$4.811,47854610,$5.87,$8.4749,$4.618
11/07/2025,$3.746,60523,$3.80,$3.847,$3.454
11/06/2025,$3.841,71362,$3.80,$3.967,$3.80
11/05/2025,$3.967,69405,$4.231,$4.24,$3.80
11/04/2025,$4.24,61393,$4.315,$4.513,$4.149
11/03/2025,$4.649,87195,$4.463,$4.80,$4.463
10/31/2025,$4.46,52688,$4.45,$4.59,$4.30
10/30/2025,$4.45,88903,$4.578,$4.60,$4.305
10/29/2025,$4.609,100125,$4.90,$5.11,$4.506
10/28/2025,$4.977,103406,$5.04,$5.185,$4.85
10/27/2025,$5.126,375284,$4.60,$5.675,$4.50
10/24/2025,$4.45,63007,$4.31,$4.68,$4.217
10/23/2025,$4.442,70010,$4.21,$4.534,$4.21
10/22/2025,$4.42,78835,$4.50,$4.748,$4.251
10/21/2025,$4.694,127880,$5.02,$5.167,$4.61
10/20/2025,$5.15,302705,$4.40,$5.333,$4.376
10/17/2025,$4.37,79478,$4.069,$4.39,$4.00
10/16/2025,$4.142,255198,$4.151,$4.60,$4.056
10/15/2025,$4.191,322100,$4.985,$5.489,$4.022
10/14/2025,$4.971,244783,$4.74,$5.50,$4.451
10/13/2025,$5.338,381976,$5.70,$6.50,$5.10
10/10/2025,$5.701,973888,$5.526,$6.88,$5.429
10/09/2025,$5.276,456866,$5.75,$6.173,$5.029
10/08/2025,$5.847,656138,$6.95,$6.999,$5.611
10/07/2025,$6.91,13561710,$5.089,$9.448,$4.911
10/06/2025,$5.041,1004111,$5.40,$5.449,$4.19
10/03/2025,$6.015,20810270,$4.972,$6.90,$4.71
10/02/2025,$3.55,1059117,$3.32,$3.58,$3.03
10/01/2025,$3.29,2190269,$2.852,$3.441,$2.814
09/30/2025,$2.94,25924,$3.00,$3.00,$2.864
09/29/2025,$2.97,67223,$2.987,$3.05,$2.868
09/26/2025,$2.987,75883,$2.98,$3.10,$2.91
09/25/2025,$2.929,30689,$2.90,$2.994,$2.90
09/24/2025,$2.911,69777,$3.10,$3.10,$2.90
09/23/2025,$3.002,40104,$3.00,$3.15,$2.936
09/22/2025,$3.071,45758,$3.00,$3.158,$3.00
09/19/2025,$3.029,73573,$3.088,$3.129,$2.90
09/18/2025,$3.13,84997,$3.24,$3.32,$3.006
09/17/2025,$3.173,77068,$3.098,$3.25,$3.02
09/16/2025,$3.115,23819,$3.041,$3.142,$2.896
09/15/2025,$3.094,21492,$3.052,$3.096,$2.915
09/12/2025,$2.978,16179,$2.978,$3.00,$2.915
09/11/2025,$2.979,30848,$2.92,$3.00,$2.92
09/10/2025,$2.978,37041,$3.045,$3.076,$2.90
09/09/2025,$3.09,26351,$2.92,$3.20,$2.90
09/08/2025,$3.05,28908,$3.18,$3.1967,$2.952
09/05/2025,$3.092,5220,$3.11,$3.146,$3.025
09/04/2025,$3.186,29422,$3.081,$3.186,$2.95
09/03/2025,$3.029,21400,$3.02,$3.10,$3.00
09/02/2025,$3.021,31422,$3.198,$3.198,$2.915
08/29/2025,$3.079,34234,$3.10,$3.135,$3.00
08/28/2025,$3.135,14118,$3.107,$3.20,$3.032
08/27/2025,$3.066,26630,$3.20,$3.20,$3.034
